category_id,x,y,z
22,-13.770508,-4.5802617,1.7475024
28,10.337329,-1.3860682,0.9496401
10,4.4296727,-4.0006237,-8.417214
22,9.62228,8.744001,5.080852
24,9.492297,-5.2583437,-9.128596
24,6.943216,7.316163,-11.321996
24,-12.794054,-0.22640459,-1.4341428
28,0.8763158,14.267695,-1.5216566
10,-2.632762,-8.215085,-4.7902927
10,-10.98145,1.5453001,-8.5595045
17,-8.606269,-6.501068,11.691639
28,4.2873225,9.035639,-11.758431
24,-4.85049,-5.188533,11.423757
28,9.687231,-0.9245104,2.5156178
28,-0.9114347,16.559557,0.4045879
26,-9.926179,-2.4431028,-3.8794663
1,14.214352,3.817014,-6.0460815
10,-13.323865,3.345478,-8.888809
10,-12.399433,-4.8021874,-0.8655021
1,11.392492,-9.659863,1.753347
10,-5.6149874,-3.0477476,-11.050783
10,11.37417,6.0154696,-8.188493
26,-2.7545733,-8.436853,-6.1362743
1,-11.876484,-3.7696385,3.7641606
22,11.501689,7.4335084,-6.9353385
24,11.463272,-3.0456622,5.8854427
28,9.502883,8.086374,5.081012
24,6.8788667,2.9872875,1.9853096
27,2.6889577,14.390194,-8.316886
27,-10.214303,-3.4217494,11.041816
10,-7.191827,-1.4971231,-2.0369697
27,-10.246416,0.030389702,2.61768
24,13.030557,6.3492775,-7.210206
17,-13.369212,5.584291,-2.4416335
24,13.399994,5.5187864,0.604894
27,3.8838089,7.724412,-13.015299
10,1.1520474,-1.0726875,6.0209146
10,1.3134412,13.817241,-10.413357
24,2.9843988,-7.13626,-8.547271
24,5.4768414,-11.2457285,-3.5501993
28,2.8613658,-3.3543642,11.418519
27,-8.751326,-11.026997,1.5371403
28,8.378517,-7.548822,-6.250447
24,7.321592,11.217425,4.885575
26,5.732835,-8.870513,-0.79563355
24,12.857449,-6.6675825,-2.099698
10,4.0400057,4.6004996,-2.5145288
10,-4.2632785,0.6602868,-4.4119463
26,0.75220996,1.5379374,10.888964
10,-1.074856,16.31338,-0.5750312
10,0.3579198,5.297443,5.984613
24,15.414879,1.6855967,0.11599256
10,-5.631579,3.8054812,8.305937
26,5.2161865,11.872735,5.769019
10,-3.4336596,10.830253,9.800631
24,-6.6511536,4.159761,9.039962
10,-0.107636854,-4.6318765,3.4163527
